Transaction_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Region,Product_Category,Product_Name,Quantity_Ordered,Unit_Price,Unit_Cost,Discount_Applied,Shipping_Cost,Payment_Method,Order_Status,Order_Year,Order_Month,Order_Month_Name,Order_Quarter,Day_of_Week,Is_Weekend,Delivery_Duration_Days,Gross_Sales_Amount,Discount_Amount,Net_Sales_Amount,Total_COGS,Gross_Profit,Profit_Margin_Pct,Customer_Age_Group,Order_Value_Tier
ORD-108975,2024-06-28,2024-07-03,CUST-1593,Customer_1593,48,Female,Canada,Beauty & Personal Care,Organic Moisturizing Cream,5,27.66,8.0,0.0,15.66,Debit Card,Delivered,2024,6,June,Q2,Friday,0,5,138.3,0.0,138.3,40.0,98.3,71.08,Gen X (40-59),Standard Tier
ORD-108271,2024-01-21,2024-01-24,CUST-1756,Customer_1756,21,Non-Binary,United States,Books & Stationery,Data Science Handbook (Hardcover),2,53.18,20.0,0.0,21.91,Credit Card,Cancelled,2024,1,January,Q1,Sunday,1,3,106.36,0.0,106.36,40.0,66.36,62.39,Gen Z (<25),Standard Tier
ORD-100182,2025-07-07,2025-07-09,CUST-2787,Customer_2787,48,Female,Germany,Beauty & Personal Care,Vitamin C Facial Serum,7,36.24,10.0,0.05,8.81,Cash on Delivery,Returned,2025,7,July,Q3,Monday,0,2,253.68,12.68,241.0,70.0,171.0,70.95,Gen X (40-59),Premium Tier
ORD-103572,2024-07-07,2024-07-13,CUST-3099,Customer_3099,90,Other,France,Home & Kitchen,Espresso Coffee Maker,7,199.82,90.0,0.05,22.07,PayPal,Cancelled,2024,7,July,Q3,Sunday,1,6,1398.74,69.94,1328.8,630.0,698.8,52.59,Boomer+ (60+),VIP Enterprise Tier
ORD-110797,2024-06-30,2024-07-02,CUST-2883,Customer_2883,57,Other,France,Clothing & Apparel,Merino Wool Sweater,2,81.96,32.0,0.15,21.35,Bank Transfer,Processing,2024,6,June,Q2,Sunday,1,2,163.92,24.59,139.33,64.0,75.33,54.07,Gen X (40-59),Standard Tier
ORD-103027,2025-08-04,2025-08-08,CUST-2748,Customer_2748,34,Male,Canada,Beauty & Personal Care,Organic Moisturizing Cream,1,28.29,8.0,0.15,8.45,Credit Card,Refunded,2025,8,August,Q3,Monday,0,4,28.29,4.24,24.05,8.0,16.05,66.74,Millennial (25-39),Budget Tier
ORD-102902,2025-02-12,2025-02-13,CUST-2680,Customer_2680,19,Male,United States,Clothing & Apparel,Waterproof Winter Jacket,7,124.73,48.0,0.25,22.32,Debit Card,Shipped,2025,2,February,Q1,Wednesday,0,1,873.11,218.28,654.83,336.0,318.83,48.69,Gen Z (<25),VIP Enterprise Tier
ORD-111258,2024-02-16,2024-02-21,CUST-2054,Customer_2054,67,Other,Germany,Home & Kitchen,Espresso Coffee Maker,4,203.5,90.0,0.1,22.41,Credit Card,Refunded,2024,2,February,Q1,Friday,0,5,814.0,81.4,732.6,360.0,372.6,50.86,Boomer+ (60+),VIP Enterprise Tier
ORD-110772,2024-11-25,2024-11-28,CUST-1724,Customer_1724,22,Male,India,Beauty & Personal Care,Sonic Electric Toothbrush,6,50.32,16.0,0.15,14.8,Credit Card,Delivered,2024,11,November,Q4,Monday,0,3,301.92,45.29,256.63,96.0,160.63,62.59,Gen Z (<25),Premium Tier
ORD-106154,2025-08-05,2025-08-11,CUST-3082,Customer_3082,90,Other,India,Books & Stationery,Artist Sketchbook Pack,6,15.4,3.5,0.05,12.11,PayPal,Returned,2025,8,August,Q3,Tuesday,0,6,92.4,4.62,87.78,21.0,66.78,76.08,Boomer+ (60+),Budget Tier
ORD-102120,2024-03-12,2024-03-14,CUST-1138,Customer_1138,20,Other,Canada,Beauty & Personal Care,Vitamin C Facial Serum,8,36.34,10.0,0.25,12.02,Bank Transfer,Returned,2024,3,March,Q1,Tuesday,0,2,290.72,72.68,218.04,80.0,138.04,63.31,Gen Z (<25),Premium Tier
ORD-110874,2024-09-28,2024-10-04,CUST-3422,Customer_3422,23,Male,Canada,Clothing & Apparel,Casual Cotton T-Shirt,7,25.22,7.0,0.1,18.46,Credit Card,Shipped,2024,9,September,Q3,Saturday,1,6,176.54,17.65,158.89,49.0,109.89,69.16,Gen Z (<25),Standard Tier
ORD-101374,2025-02-25,2025-02-26,CUST-1617,Customer_1617,59,Male,India,Beauty & Personal Care,Sunscreen SPF 50+,2,22.66,6.0,0.0,17.18,Credit Card,Cancelled,2025,2,February,Q1,Tuesday,0,1,45.32,0.0,45.32,12.0,33.32,73.52,Gen X (40-59),Budget Tier
ORD-106378,2025-10-14,2025-10-16,CUST-1078,Customer_1078,20,Female,Australia,Books & Stationery,Ergonomic Fountain Pen Set,8,31.23,9.0,0.05,8.55,Credit Card,Delivered,2025,10,October,Q4,Tuesday,0,2,249.84,12.49,237.35,72.0,165.35,69.67,Gen Z (<25),Premium Tier
ORD-100451,2024-06-20,2024-06-22,CUST-3245,Customer_3245,22,Male,United States,Beauty & Personal Care,Sonic Electric Toothbrush,6,47.53,16.0,0.2,14.38,Cash on Delivery,Processing,2024,6,June,Q2,Thursday,0,2,285.18,57.04,228.14,96.0,132.14,57.92,Gen Z (<25),Premium Tier
ORD-109150,2024-08-13,2024-08-17,CUST-1845,Customer_1845,20,Other,United States,Books & Stationery,Hardcover Productivity Journal,4,18.09,4.5,0.3,12.17,PayPal,Delivered,2024,8,August,Q3,Tuesday,0,4,72.36,21.71,50.65,18.0,32.65,64.46,Gen Z (<25),Budget Tier
ORD-100931,2025-09-12,2025-09-15,CUST-1058,Customer_1058,73,Male,India,Beauty & Personal Care,Vitamin C Facial Serum,3,33.73,10.0,0.25,5.53,Credit Card,Refunded,2025,9,September,Q3,Friday,0,3,101.19,25.3,75.89,30.0,45.89,60.47,Boomer+ (60+),Budget Tier
ORD-103466,2025-09-12,2025-09-14,CUST-1985,Customer_1985,23,Female,United Kingdom,Electronics,4K Ultra Monitor,4,361.82,190.0,0.1,6.11,Apple Pay,Returned,2025,9,September,Q3,Friday,0,2,1447.28,144.73,1302.55,760.0,542.55,41.65,Gen Z (<25),VIP Enterprise Tier
ORD-110534,2024-10-05,2024-10-06,CUST-1143,Customer_1143,44,Female,United Kingdom,Clothing & Apparel,Breathable Running Shoes,4,105.35,42.0,0.2,24.34,Debit Card,Cancelled,2024,10,October,Q4,Saturday,1,1,421.4,84.28,337.12,168.0,169.12,50.17,Gen X (40-59),Premium Tier
ORD-111597,2025-11-08,2025-11-15,CUST-1608,Customer_1608,29,Female,India,Books & Stationery,Business Strategy Guide,4,26.16,6.0,0.0,6.36,Credit Card,Delivered,2025,11,November,Q4,Saturday,1,7,104.64,0.0,104.64,24.0,80.64,77.06,Millennial (25-39),Standard Tier
ORD-110546,2025-04-21,2025-04-26,CUST-1742,Customer_1742,44,Male,Germany,Books & Stationery,Data Science Handbook (Hardcover),8,54.95,20.0,0.2,21.31,Credit Card,Processing,2025,4,April,Q2,Monday,0,5,439.6,87.92,351.68,160.0,191.68,54.5,Gen X (40-59),Premium Tier
ORD-103805,2024-01-21,2024-01-22,CUST-2024,Customer_2024,34,Male,India,Clothing & Apparel,Merino Wool Sweater,3,82.25,32.0,0.25,16.69,Credit Card,Shipped,2024,1,January,Q1,Sunday,1,1,246.75,61.69,185.06,96.0,89.06,48.12,Millennial (25-39),Standard Tier
ORD-101115,2024-09-10,2024-09-15,CUST-1964,Customer_1964,35,Male,United Kingdom,Electronics,USB-C Fast Charger,8,30.91,8.5,0.0,9.29,Credit Card,Delivered,2024,9,September,Q3,Tuesday,0,5,247.28,0.0,247.28,68.0,179.28,72.5,Millennial (25-39),Premium Tier
ORD-110759,2024-08-04,2024-08-05,CUST-1239,Customer_1239,63,Female,Australia,Beauty & Personal Care,Sonic Electric Toothbrush,7,52.14,16.0,0.05,15.035,Debit Card,Refunded,2024,8,August,Q3,Sunday,1,1,364.98,18.25,346.73,112.0,234.73,67.7,Boomer+ (60+),Premium Tier
ORD-103298,2024-03-17,2024-03-23,CUST-2668,Customer_2668,31,Other,United States,Clothing & Apparel,Waterproof Winter Jacket,4,122.67,48.0,0.2,5.22,PayPal,Returned,2024,3,March,Q1,Sunday,1,6,490.68,98.14,392.54,192.0,200.54,51.09,Millennial (25-39),Premium Tier
ORD-110729,2024-04-12,2024-04-13,CUST-3207,Customer_3207,38,Other,United Kingdom,Books & Stationery,Ergonomic Fountain Pen Set,8,33.22,9.0,0.05,9.32,Apple Pay,Delivered,2024,4,April,Q2,Friday,0,1,265.76,13.29,252.47,72.0,180.47,71.48,Millennial (25-39),Premium Tier
ORD-109838,2024-03-20,2024-03-24,CUST-3413,Customer_3413,24,Other,United States,Books & Stationery,Artist Sketchbook Pack,4,14.93,3.5,0.05,11.61,Debit Card,Shipped,2024,3,March,Q1,Wednesday,0,4,59.72,2.99,56.73,14.0,42.73,75.32,Gen Z (<25),Budget Tier
ORD-100386,2024-05-20,2024-05-24,CUST-1890,Customer_1890,72,Other,India,Clothing & Apparel,Waterproof Winter Jacket,4,120.08,48.0,0.15,13.3,Credit Card,Cancelled,2024,5,May,Q2,Monday,0,4,480.32,72.05,408.27,192.0,216.27,52.97,Boomer+ (60+),Premium Tier
ORD-107451,2024-03-24,2024-03-26,CUST-2077,Customer_2077,32,Female,United Kingdom,Clothing & Apparel,Slim-Fit Denim Jeans,7,63.93,24.0,0.25,10.71,PayPal,Returned,2024,3,March,Q1,Sunday,1,2,447.51,111.88,335.63,168.0,167.63,49.94,Millennial (25-39),Premium Tier
ORD-110314,2024-01-16,2024-01-18,CUST-1624,Customer_1624,28,Female,United States,Home & Kitchen,Robot Vacuum Cleaner,1,308.96,130.0,0.25,11.41,PayPal,Cancelled,2024,1,January,Q1,Tuesday,0,2,308.96,77.24,231.72,130.0,101.72,43.9,Millennial (25-39),Premium Tier
ORD-106076,2024-08-30,2024-09-04,CUST-2597,Customer_2597,70,Male,Australia,Electronics,USB-C Fast Charger,7,31.26,8.5,0.05,6.74,Debit Card,Refunded,2024,8,August,Q3,Friday,0,5,218.82,10.94,207.88,59.5,148.38,71.38,Boomer+ (60+),Standard Tier
ORD-105415,2025-02-19,2025-02-20,CUST-1734,Customer_1734,62,Male,United States,Electronics,Gaming Mechanical Keyboard,3,90.42,35.0,0.2,18.73,Credit Card,Delivered,2025,2,February,Q1,Wednesday,0,1,271.26,54.25,217.01,105.0,112.01,51.62,Boomer+ (60+),Premium Tier
ORD-104650,2024-10-23,2024-10-26,CUST-2982,Customer_2982,54,Female,United Kingdom,Electronics,USB-C Fast Charger,7,29.66,8.5,0.15,11.35,Credit Card,Cancelled,2024,10,October,Q4,Wednesday,0,3,207.62,31.14,176.48,59.5,116.98,66.29,Gen X (40-59),Standard Tier
ORD-100312,2024-02-17,2024-02-20,CUST-1204,Customer_1204,38,Male,Unknown,Beauty & Personal Care,Sonic Electric Toothbrush,1,51.97,16.0,0.0,11.34,Cash on Delivery,Returned,2024,2,February,Q1,Saturday,1,3,51.97,0.0,51.97,16.0,35.97,69.21,Millennial (25-39),Budget Tier
ORD-100488,2024-09-20,2024-09-25,CUST-2455,Customer_2455,32,Male,United States,Home & Kitchen,Blender & Smoothie Maker,8,60.63,22.0,0.05,5.77,Credit Card,Delivered,2024,9,September,Q3,Friday,0,5,485.04,24.25,460.79,176.0,284.79,61.8,Millennial (25-39),Premium Tier
ORD-105041,2024-10-26,2024-10-31,CUST-2799,Customer_2799,54,Other,Canada,Books & Stationery,Data Science Handbook (Hardcover),5,57.24,20.0,0.15,13.88,Credit Card,Shipped,2024,10,October,Q4,Saturday,1,5,286.2,42.93,243.27,100.0,143.27,58.89,Gen X (40-59),Premium Tier
ORD-110181,2024-01-09,2024-01-11,CUST-1382,Customer_1382,71,Other,Germany,Beauty & Personal Care,Ionic Hair Dryer,1,75.75,28.0,0.3,18.0,Credit Card,Returned,2024,1,January,Q1,Tuesday,0,2,75.75,22.72,53.03,28.0,25.03,47.2,Boomer+ (60+),Budget Tier
ORD-107953,2024-01-15,2024-01-20,CUST-2564,Customer_2564,21,Other,United Kingdom,Electronics,Gaming Mechanical Keyboard,2,85.56,35.0,0.1,8.99,Credit Card,Returned,2024,1,January,Q1,Monday,0,5,171.12,17.11,154.01,70.0,84.01,54.55,Gen Z (<25),Standard Tier
ORD-108130,2025-10-20,2025-10-23,CUST-2030,Customer_2030,70,Other,India,Beauty & Personal Care,Ionic Hair Dryer,8,77.8,28.0,0.3,18.91,Bank Transfer,Cancelled,2025,10,October,Q4,Monday,0,3,622.4,186.72,435.68,224.0,211.68,48.59,Boomer+ (60+),Premium Tier
ORD-107236,2024-05-19,2024-05-25,CUST-2814,Customer_2814,72,Male,Canada,Electronics,Wireless Earbuds,3,129.69,45.0,0.2,6.44,Bank Transfer,Delivered,2024,5,May,Q2,Sunday,1,6,389.07,77.81,311.26,135.0,176.26,56.63,Boomer+ (60+),Premium Tier
ORD-101023,2024-04-15,2024-04-21,CUST-3056,Customer_3056,36,Male,Germany,Beauty & Personal Care,Sonic Electric Toothbrush,3,52.08,16.0,0.3,12.04,PayPal,Cancelled,2024,4,April,Q2,Monday,0,6,156.24,46.87,109.37,48.0,61.37,56.11,Millennial (25-39),Standard Tier
ORD-101845,2024-09-12,2024-09-16,CUST-3010,Customer_3010,63,Male,United Kingdom,Home & Kitchen,Stainless Steel Cookware Set,5,151.71,65.0,0.05,23.48,Cash on Delivery,Shipped,2024,9,September,Q3,Thursday,0,4,758.55,37.93,720.62,325.0,395.62,54.9,Boomer+ (60+),VIP Enterprise Tier
ORD-100840,2024-12-03,2024-12-09,CUST-1145,Customer_1145,49,Other,Australia,Electronics,Gaming Mechanical Keyboard,4,86.64,35.0,0.0,5.17,Debit Card,Returned,2024,12,December,Q4,Tuesday,0,6,346.56,0.0,346.56,140.0,206.56,59.6,Gen X (40-59),Premium Tier
ORD-103376,2024-09-24,2024-10-01,CUST-1319,Customer_1319,53,Female,Australia,Home & Kitchen,Espresso Coffee Maker,2,194.86,90.0,0.1,11.83,Cash on Delivery,Processing,2024,9,September,Q3,Tuesday,0,7,389.72,38.97,350.75,180.0,170.75,48.68,Gen X (40-59),Premium Tier
ORD-106384,2024-04-09,2024-04-12,CUST-2175,Customer_2175,19,Female,Unknown,Home & Kitchen,Air Purifier HEPA,7,124.14,50.0,0.2,16.81,PayPal,Delivered,2024,4,April,Q2,Tuesday,0,3,868.98,173.8,695.18,350.0,345.18,49.65,Gen Z (<25),VIP Enterprise Tier
ORD-108873,2025-07-09,2025-07-14,CUST-1027,Customer_1027,56,Male,United States,Books & Stationery,Hardcover Productivity Journal,8,19.22,4.5,0.05,24.85,PayPal,Shipped,2025,7,July,Q3,Wednesday,0,5,153.76,7.69,146.07,36.0,110.07,75.35,Gen X (40-59),Standard Tier
ORD-105362,2024-03-15,2024-03-19,CUST-2699,Customer_2699,25,Male,United Kingdom,Home & Kitchen,Air Purifier HEPA,3,114.37,50.0,0.2,8.37,Cash on Delivery,Delivered,2024,3,March,Q1,Friday,0,4,343.11,68.62,274.49,150.0,124.49,45.35,Millennial (25-39),Premium Tier
ORD-110520,2024-06-27,2024-07-01,CUST-3430,Customer_3430,55,Female,United Kingdom,Books & Stationery,Ergonomic Fountain Pen Set,7,30.77,9.0,0.0,21.75,PayPal,Processing,2024,6,June,Q2,Thursday,0,4,215.39,0.0,215.39,63.0,152.39,70.75,Gen X (40-59),Premium Tier
ORD-102803,2025-01-19,2025-01-26,CUST-2483,Customer_2483,43,Female,United States,Clothing & Apparel,Casual Cotton T-Shirt,4,26.2,7.0,0.15,10.98,Credit Card,Delivered,2025,1,January,Q1,Sunday,1,7,104.8,15.72,89.08,28.0,61.08,68.57,Gen X (40-59),Budget Tier
ORD-100829,2024-02-07,2024-02-10,CUST-2761,Customer_2761,23,Female,France,Electronics,Smartphone Pro,2,408.09000000000003,450.0,0.1,23.58,Debit Card,Returned,2024,2,February,Q1,Wednesday,0,3,816.18,81.62,734.56,900.0,-165.44,-22.52,Gen Z (<25),VIP Enterprise Tier
ORD-110141,2025-09-25,2025-10-02,CUST-2774,Customer_2774,49,Female,Canada,Beauty & Personal Care,Organic Moisturizing Cream,8,27.48,8.0,0.3,22.6,Credit Card,Processing,2025,9,September,Q3,Thursday,0,7,219.84,65.95,153.89,64.0,89.89,58.41,Gen X (40-59),Standard Tier
ORD-103588,2024-02-13,2024-02-16,CUST-1023,Customer_1023,27,Female,France,Beauty & Personal Care,Sonic Electric Toothbrush,4,52.0,16.0,0.0,6.47,PayPal,Returned,2024,2,February,Q1,Tuesday,0,3,208.0,0.0,208.0,64.0,144.0,69.23,Millennial (25-39),Standard Tier
ORD-106885,2025-10-21,2025-10-23,CUST-1975,Customer_1975,46,Male,Japan,Clothing & Apparel,Waterproof Winter Jacket,6,114.65,48.0,0.1,8.43,Bank Transfer,Shipped,2025,10,October,Q4,Tuesday,0,2,687.9,68.79,619.11,288.0,331.11,53.48,Gen X (40-59),VIP Enterprise Tier
ORD-109282,2024-01-19,2024-01-21,CUST-1373,Customer_1373,59,Other,Germany,Clothing & Apparel,Slim-Fit Denim Jeans,3,63.04,24.0,0.2,16.38,Credit Card,Processing,2024,1,January,Q1,Friday,0,2,189.12,37.82,151.3,72.0,79.3,52.41,Gen X (40-59),Standard Tier
ORD-110646,2024-03-13,2024-03-19,CUST-2419,Customer_2419,46,Male,United Kingdom,Clothing & Apparel,Casual Cotton T-Shirt,1,24.51,7.0,0.3,8.98,Debit Card,Returned,2024,3,March,Q1,Wednesday,0,6,24.51,7.35,17.16,7.0,10.16,59.21,Gen X (40-59),Budget Tier
ORD-111777,2025-01-31,2025-02-05,CUST-2086,Customer_2086,38,Female,Canada,Clothing & Apparel,Waterproof Winter Jacket,3,118.64,48.0,0.3,8.54,PayPal,Shipped,2025,1,January,Q1,Friday,0,5,355.92,106.78,249.14,144.0,105.14,42.2,Millennial (25-39),Premium Tier
ORD-110023,2024-08-01,2024-08-08,CUST-3446,Customer_3446,54,Female,Canada,Books & Stationery,Business Strategy Guide,8,25.46,6.0,0.25,24.43,Credit Card,Shipped,2024,8,August,Q3,Thursday,0,7,203.68,50.92,152.76,48.0,104.76,68.58,Gen X (40-59),Standard Tier
ORD-105325,2025-06-10,2025-06-16,CUST-2409,Customer_2409,43,Female,United Kingdom,Books & Stationery,Data Science Handbook (Hardcover),4,57.08,20.0,0.3,21.52,Apple Pay,Refunded,2025,6,June,Q2,Tuesday,0,6,228.32,68.5,159.82,80.0,79.82,49.94,Gen X (40-59),Standard Tier
ORD-109187,2024-01-09,2024-01-13,CUST-1756,Customer_1756,46,Female,United Kingdom,Books & Stationery,Data Science Handbook (Hardcover),6,57.32,20.0,0.0,10.82,Bank Transfer,Delivered,2024,1,January,Q1,Tuesday,0,4,343.92,0.0,343.92,120.0,223.92,65.11,Gen X (40-59),Premium Tier
ORD-105684,2024-04-23,2024-04-26,CUST-1748,Customer_1748,53,Male,Australia,Books & Stationery,Hardcover Productivity Journal,3,18.33,4.5,0.25,6.77,PayPal,Cancelled,2024,4,April,Q2,Tuesday,0,3,54.99,13.75,41.24,13.5,27.74,67.26,Gen X (40-59),Budget Tier
ORD-102460,2025-06-02,2025-06-09,CUST-1975,Customer_1975,21,Male,Australia,Electronics,Smartphone Pro,2,408.09000000000003,450.0,0.3,18.28,Credit Card,Shipped,2025,6,June,Q2,Monday,0,7,816.18,244.85,571.33,900.0,-328.67,-57.53,Gen Z (<25),VIP Enterprise Tier
ORD-105965,2025-02-27,2025-03-01,CUST-2467,Customer_2467,52,Female,United States,Beauty & Personal Care,Sonic Electric Toothbrush,3,50.4,16.0,0.0,5.24,Credit Card,Refunded,2025,2,February,Q1,Thursday,0,2,151.2,0.0,151.2,48.0,103.2,68.25,Gen X (40-59),Standard Tier
ORD-109000,2025-03-15,2025-03-16,CUST-1437,Customer_1437,18,Male,United Kingdom,Electronics,Smartphone Pro,6,408.09000000000003,450.0,0.15,6.52,Apple Pay,Returned,2025,3,March,Q1,Saturday,1,1,2448.54,367.28,2081.26,2700.0,-618.74,-29.73,Gen Z (<25),VIP Enterprise Tier
ORD-103388,2024-09-25,2024-10-02,CUST-3322,Customer_3322,24,Other,United Kingdom,Electronics,Gaming Mechanical Keyboard,7,89.4,35.0,0.0,23.75,Credit Card,Refunded,2024,9,September,Q3,Wednesday,0,7,625.8,0.0,625.8,245.0,380.8,60.85,Gen Z (<25),VIP Enterprise Tier
ORD-105385,2025-05-19,2025-05-25,CUST-2781,Customer_2781,34,Male,United States,Clothing & Apparel,Breathable Running Shoes,2,108.89,42.0,0.3,12.7,Credit Card,Refunded,2025,5,May,Q2,Monday,0,6,217.78,65.33,152.45,84.0,68.45,44.9,Millennial (25-39),Standard Tier
ORD-103609,2025-09-21,2025-09-25,CUST-2564,Customer_2564,54,Male,France,Clothing & Apparel,Merino Wool Sweater,1,85.78,32.0,0.0,17.74,Debit Card,Delivered,2025,9,September,Q3,Sunday,1,4,85.78,0.0,85.78,32.0,53.78,62.7,Gen X (40-59),Budget Tier
ORD-106072,2024-11-16,2024-11-21,CUST-1183,Customer_1183,60,Male,United Kingdom,Electronics,Wireless Earbuds,8,134.17,45.0,0.2,15.66,PayPal,Shipped,2024,11,November,Q4,Saturday,1,5,1073.36,214.67,858.69,360.0,498.69,58.08,Boomer+ (60+),VIP Enterprise Tier
ORD-107204,2025-07-08,2025-07-09,CUST-2072,Customer_2072,59,Other,Canada,Beauty & Personal Care,Sunscreen SPF 50+,4,22.19,6.0,0.25,17.15,Debit Card,Delivered,2025,7,July,Q3,Tuesday,0,1,88.76,22.19,66.57,24.0,42.57,63.95,Gen X (40-59),Budget Tier
ORD-106135,2024-02-12,2024-02-15,CUST-1133,Customer_1133,59,Male,Canada,Electronics,Gaming Mechanical Keyboard,5,89.94,35.0,0.05,20.53,Cash on Delivery,Processing,2024,2,February,Q1,Monday,0,3,449.7,22.48,427.22,175.0,252.22,59.04,Gen X (40-59),Premium Tier
ORD-103500,2025-02-06,2025-02-11,CUST-2413,Customer_2413,57,Other,United States,Home & Kitchen,Air Purifier HEPA,4,114.01,50.0,0.0,14.47,PayPal,Returned,2025,2,February,Q1,Thursday,0,5,456.04,0.0,456.04,200.0,256.04,56.14,Gen X (40-59),Premium Tier
ORD-107048,2025-03-12,2025-03-19,CUST-3444,Customer_3444,25,Female,Germany,Home & Kitchen,Stainless Steel Cookware Set,5,145.81,65.0,0.25,7.17,Credit Card,Shipped,2025,3,March,Q1,Wednesday,0,7,729.05,182.26,546.79,325.0,221.79,40.56,Millennial (25-39),VIP Enterprise Tier
ORD-102146,2025-03-19,2025-03-26,CUST-1279,Customer_1279,37,Female,India,Books & Stationery,Business Strategy Guide,5,25.39,6.0,0.0,23.79,Credit Card,Cancelled,2025,3,March,Q1,Wednesday,0,7,126.95,0.0,126.95,30.0,96.95,76.37,Millennial (25-39),Standard Tier
ORD-111472,2025-08-10,2025-08-11,CUST-3428,Customer_3428,28,Other,United States,Clothing & Apparel,Waterproof Winter Jacket,1,117.46,48.0,0.0,21.77,PayPal,Delivered,2025,8,August,Q3,Sunday,1,1,117.46,0.0,117.46,48.0,69.46,59.14,Millennial (25-39),Standard Tier
ORD-103373,2024-04-26,2024-05-01,CUST-3137,Customer_3137,47,Non-Binary,Germany,Home & Kitchen,Blender & Smoothie Maker,7,59.67,22.0,0.0,23.52,Credit Card,Processing,2024,4,April,Q2,Friday,0,5,417.69,0.0,417.69,154.0,263.69,63.13,Gen X (40-59),Premium Tier
ORD-103022,2024-12-18,2024-12-22,CUST-2589,Customer_2589,47,Female,Canada,Beauty & Personal Care,Organic Moisturizing Cream,5,26.67,8.0,0.3,22.96,Credit Card,Refunded,2024,12,December,Q4,Wednesday,0,4,133.35,40.0,93.35,40.0,53.35,57.15,Gen X (40-59),Budget Tier
ORD-104099,2024-09-03,2024-09-06,CUST-2815,Customer_2815,62,Female,United States,Clothing & Apparel,Breathable Running Shoes,7,109.81,42.0,0.0,15.76,Credit Card,Delivered,2024,9,September,Q3,Tuesday,0,3,768.67,0.0,768.67,294.0,474.67,61.75,Boomer+ (60+),VIP Enterprise Tier
